"region","kjønn","alder","yrke","Lønnstakere 2018"
"0632 Rollag (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",18
"0632 Rollag (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",180
"0632 Rollag (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",11
"0632 Rollag (-2019)","Begge kjønn","15-74 år","7 Håndverkere",82
"0632 Rollag (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",64
"0632 Rollag (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",55
"0633 Nore og Uvdal (-2019)","Begge kjønn","15-74 år","1 Ledere",84
"0633 Nore og Uvdal (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",180
"0633 Nore og Uvdal (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",120
"0633 Nore og Uvdal (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",72
"0633 Nore og Uvdal (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",331
"0633 Nore og Uvdal (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",9
"0633 Nore og Uvdal (-2019)","Begge kjønn","15-74 år","7 Håndverkere",204
"0633 Nore og Uvdal (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",116
"0633 Nore og Uvdal (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",86
"0701 Horten (2002-2019)","Begge kjønn","15-74 år","1 Ledere",929
"0701 Horten (2002-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",2800
"0701 Horten (2002-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",1941
"0701 Horten (2002-2019)","Begge kjønn","15-74 år","4 Kontoryrker",760
"0701 Horten (2002-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",2954
"0701 Horten (2002-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",56
"0701 Horten (2002-2019)","Begge kjønn","15-74 år","7 Håndverkere",961
"0701 Horten (2002-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",792
"0701 Horten (2002-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",664
"0704 Tønsberg (1988-2019)","Begge kjønn","15-74 år","1 Ledere",1966
"0704 Tønsberg (1988-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",5916
"0704 Tønsberg (1988-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",3652
"0704 Tønsberg (1988-2019)","Begge kjønn","15-74 år","4 Kontoryrker",1342
"0704 Tønsberg (1988-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",5115
"0704 Tønsberg (1988-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",95
"0704 Tønsberg (1988-2019)","Begge kjønn","15-74 år","7 Håndverkere",1629
"0704 Tønsberg (1988-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",997
"0704 Tønsberg (1988-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",1067
"0710 Sandefjord (2017-2019)","Begge kjønn","15-74 år","1 Ledere",2629
"0710 Sandefjord (2017-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",5353
"0710 Sandefjord (2017-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",4456
"0710 Sandefjord (2017-2019)","Begge kjønn","15-74 år","4 Kontoryrker",2165
"0710 Sandefjord (2017-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",6995
"0710 Sandefjord (2017-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",196
"0710 Sandefjord (2017-2019)","Begge kjønn","15-74 år","7 Håndverkere",2577
"0710 Sandefjord (2017-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",1933
"0710 Sandefjord (2017-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",1998
"0711 Svelvik (-2019)","Begge kjønn","15-74 år","1 Ledere",261
"0711 Svelvik (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",526
"0711 Svelvik (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",484
"0711 Svelvik (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",271
"0711 Svelvik (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",745
"0711 Svelvik (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",16
"0711 Svelvik (-2019)","Begge kjønn","15-74 år","7 Håndverkere",294
"0711 Svelvik (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",263
"0711 Svelvik (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",149
"0712 Larvik (2018-2019)","Begge kjønn","15-74 år","1 Ledere",1684
"0712 Larvik (2018-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",3961
"0712 Larvik (2018-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",3021
"0712 Larvik (2018-2019)","Begge kjønn","15-74 år","4 Kontoryrker",1619
"0712 Larvik (2018-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",5164
"0712 Larvik (2018-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",126
"0712 Larvik (2018-2019)","Begge kjønn","15-74 år","7 Håndverkere",2018
"0712 Larvik (2018-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",1689
"0712 Larvik (2018-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",1251
"0713 Sande (Vestfold) (-2019)","Begge kjønn","15-74 år","1 Ledere",421
"0713 Sande (Vestfold) (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",962
"0713 Sande (Vestfold) (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",744
"0713 Sande (Vestfold) (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",352
"0713 Sande (Vestfold) (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",1037
"0713 Sande (Vestfold) (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",45
"0713 Sande (Vestfold) (-2019)","Begge kjønn","15-74 år","7 Håndverkere",517
"0713 Sande (Vestfold) (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",290
"0713 Sande (Vestfold) (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",253
"0715 Holmestrand (2018-2019)","Begge kjønn","15-74 år","1 Ledere",563
"0715 Holmestrand (2018-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",1268
"0715 Holmestrand (2018-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",996
"0715 Holmestrand (2018-2019)","Begge kjønn","15-74 år","4 Kontoryrker",407
"0715 Holmestrand (2018-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",1619
"0715 Holmestrand (2018-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",45
"0715 Holmestrand (2018-2019)","Begge kjønn","15-74 år","7 Håndverkere",631
"0715 Holmestrand (2018-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",627
"0715 Holmestrand (2018-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",349
"0716 Re (2002-2019)","Begge kjønn","15-74 år","1 Ledere",345
"0716 Re (2002-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",792
"0716 Re (2002-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",680
"0716 Re (2002-2019)","Begge kjønn","15-74 år","4 Kontoryrker",294
"0716 Re (2002-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",1118
"0716 Re (2002-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",92
"0716 Re (2002-2019)","Begge kjønn","15-74 år","7 Håndverkere",587
"0716 Re (2002-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",431
"0716 Re (2002-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",292
"0729 Færder (2018-2019)","Begge kjønn","15-74 år","1 Ledere",1248
"0729 Færder (2018-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",3162
"0729 Færder (2018-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",1871
"0729 Færder (2018-2019)","Begge kjønn","15-74 år","4 Kontoryrker",632
"0729 Færder (2018-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",2849
"0729 Færder (2018-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",55
"0729 Færder (2018-2019)","Begge kjønn","15-74 år","7 Håndverkere",830
"0729 Færder (2018-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",467
"0729 Færder (2018-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",512
"0805 Porsgrunn (-2019)","Begge kjønn","15-74 år","1 Ledere",1366
"0805 Porsgrunn (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",3720
"0805 Porsgrunn (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",2579
"0805 Porsgrunn (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",891
"0805 Porsgrunn (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",3922
"0805 Porsgrunn (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",37
"0805 Porsgrunn (-2019)","Begge kjønn","15-74 år","7 Håndverkere",1535
"0805 Porsgrunn (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",1577
"0805 Porsgrunn (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",737
"0806 Skien (-2019)","Begge kjønn","15-74 år","1 Ledere",1937
"0806 Skien (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",5589
"0806 Skien (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",3627
"0806 Skien (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",1376
"0806 Skien (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",6201
"0806 Skien (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",91
"0806 Skien (-2019)","Begge kjønn","15-74 år","7 Håndverkere",2304
"0806 Skien (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",1894
"0806 Skien (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",1315
"0807 Notodden (-2019)","Begge kjønn","15-74 år","1 Ledere",423
"0807 Notodden (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",1163
"0807 Notodden (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",685
"0807 Notodden (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",282
"0807 Notodden (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",1442
"0807 Notodden (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",18
"0807 Notodden (-2019)","Begge kjønn","15-74 år","7 Håndverkere",598
"0807 Notodden (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",464
"0807 Notodden (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",301
"0811 Siljan (-2019)","Begge kjønn","15-74 år","1 Ledere",84
"0811 Siljan (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",212
"0811 Siljan (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",171
"0811 Siljan (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",60
"0811 Siljan (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",262
"0811 Siljan (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",13
"0811 Siljan (-2019)","Begge kjønn","15-74 år","7 Håndverkere",124
"0811 Siljan (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",97
"0811 Siljan (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",62
"0814 Bamble (-2019)","Begge kjønn","15-74 år","1 Ledere",523
"0814 Bamble (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",1141
"0814 Bamble (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",927
"0814 Bamble (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",363
"0814 Bamble (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",1534
"0814 Bamble (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",8
"0814 Bamble (-2019)","Begge kjønn","15-74 år","7 Håndverkere",712
"0814 Bamble (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",720
"0814 Bamble (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",294
"0815 Kragerø (-2019)","Begge kjønn","15-74 år","1 Ledere",360
"0815 Kragerø (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",814
"0815 Kragerø (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",573
"0815 Kragerø (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",253
"0815 Kragerø (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",1159
"0815 Kragerø (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",33
"0815 Kragerø (-2019)","Begge kjønn","15-74 år","7 Håndverkere",501
"0815 Kragerø (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",415
"0815 Kragerø (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",189
"0817 Drangedal (-2019)","Begge kjønn","15-74 år","1 Ledere",117
"0817 Drangedal (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",271
"0817 Drangedal (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",188
"0817 Drangedal (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",70
"0817 Drangedal (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",441
"0817 Drangedal (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",23
"0817 Drangedal (-2019)","Begge kjønn","15-74 år","7 Håndverkere",283
"0817 Drangedal (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",207
"0817 Drangedal (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",104
"0819 Nome (-2019)","Begge kjønn","15-74 år","1 Ledere",181
"0819 Nome (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",514
"0819 Nome (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",329
"0819 Nome (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",133
"0819 Nome (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",827
"0819 Nome (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",24
"0819 Nome (-2019)","Begge kjønn","15-74 år","7 Håndverkere",387
"0819 Nome (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",277
"0819 Nome (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",184
"0821 Bø (Telemark) (-2019)","Begge kjønn","15-74 år","1 Ledere",254
"0821 Bø (Telemark) (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",679
"0821 Bø (Telemark) (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",319
"0821 Bø (Telemark) (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",135
"0821 Bø (Telemark) (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",778
"0821 Bø (Telemark) (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",26
"0821 Bø (Telemark) (-2019)","Begge kjønn","15-74 år","7 Håndverkere",269
"0821 Bø (Telemark) (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",171
"0821 Bø (Telemark) (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",168
"0822 Sauherad (-2019)","Begge kjønn","15-74 år","1 Ledere",148
"0822 Sauherad (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",362
"0822 Sauherad (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",212
"0822 Sauherad (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",76
"0822 Sauherad (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",465
"0822 Sauherad (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",25
"0822 Sauherad (-2019)","Begge kjønn","15-74 år","7 Håndverkere",220
"0822 Sauherad (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",196
"0822 Sauherad (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",104
"0826 Tinn (-2019)","Begge kjønn","15-74 år","1 Ledere",218
"0826 Tinn (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",423
"0826 Tinn (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",313
"0826 Tinn (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",153
"0826 Tinn (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",744
"0826 Tinn (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",14
"0826 Tinn (-2019)","Begge kjønn","15-74 år","7 Håndverkere",317
"0826 Tinn (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",266
"0826 Tinn (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",191
"0827 Hjartdal (-2019)","Begge kjønn","15-74 år","1 Ledere",51
"0827 Hjartdal (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",101
"0827 Hjartdal (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",80
"0827 Hjartdal (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",22
"0827 Hjartdal (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",174
"0827 Hjartdal (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",15
"0827 Hjartdal (-2019)","Begge kjønn","15-74 år","7 Håndverkere",89
"0827 Hjartdal (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",75
"0827 Hjartdal (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",46
"0828 Seljord (-2019)","Begge kjønn","15-74 år","1 Ledere",110
"0828 Seljord (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",240
"0828 Seljord (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",131
"0828 Seljord (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",87
"0828 Seljord (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",314
"0828 Seljord (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",21
"0828 Seljord (-2019)","Begge kjønn","15-74 år","7 Håndverkere",147
"0828 Seljord (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",98
"0828 Seljord (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",111
"0829 Kviteseid (-2019)","Begge kjønn","15-74 år","1 Ledere",81
"0829 Kviteseid (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",224
"0829 Kviteseid (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",121
"0829 Kviteseid (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",60
"0829 Kviteseid (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",263
"0829 Kviteseid (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",8
"0829 Kviteseid (-2019)","Begge kjønn","15-74 år","7 Håndverkere",145
"0829 Kviteseid (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",105
"0829 Kviteseid (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",95
"0830 Nissedal (-2019)","Begge kjønn","15-74 år","1 Ledere",64
"0830 Nissedal (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",116
"0830 Nissedal (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",68
"0830 Nissedal (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",31
"0830 Nissedal (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",172
"0830 Nissedal (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",10
"0830 Nissedal (-2019)","Begge kjønn","15-74 år","7 Håndverkere",62
"0830 Nissedal (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",89
"0830 Nissedal (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",40
"0831 Fyresdal (-2019)","Begge kjønn","15-74 år","1 Ledere",48
"0831 Fyresdal (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",100
"0831 Fyresdal (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",66
"0831 Fyresdal (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",19
"0831 Fyresdal (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",149
"0831 Fyresdal (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",12
"0831 Fyresdal (-2019)","Begge kjønn","15-74 år","7 Håndverkere",60
"0831 Fyresdal (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",71
"0831 Fyresdal (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",36
"0833 Tokke (-2019)","Begge kjønn","15-74 år","1 Ledere",69
"0833 Tokke (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",235
"0833 Tokke (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",130
"0833 Tokke (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",39
"0833 Tokke (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",223
"0833 Tokke (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",16
"0833 Tokke (-2019)","Begge kjønn","15-74 år","7 Håndverkere",137
"0833 Tokke (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",99
"0833 Tokke (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",72
"0834 Vinje (-2019)","Begge kjønn","15-74 år","1 Ledere",125
"0834 Vinje (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",345
"0834 Vinje (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",172
"0834 Vinje (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",100
"0834 Vinje (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",464
"0834 Vinje (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",20
"0834 Vinje (-2019)","Begge kjønn","15-74 år","7 Håndverkere",210
"0834 Vinje (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",213
"0834 Vinje (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",137
"0901 Risør (-2019)","Begge kjønn","15-74 år","1 Ledere",241
"0901 Risør (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",617
"0901 Risør (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",319
"0901 Risør (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",131
"0901 Risør (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",800
"0901 Risør (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",7
"0901 Risør (-2019)","Begge kjønn","15-74 år","7 Håndverkere",367
"0901 Risør (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",194
"0901 Risør (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",156
"0904 Grimstad (-2019)","Begge kjønn","15-74 år","1 Ledere",799
"0904 Grimstad (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",2686
"0904 Grimstad (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",1539
"0904 Grimstad (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",625
"0904 Grimstad (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",2598
"0904 Grimstad (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",94
"0904 Grimstad (-2019)","Begge kjønn","15-74 år","7 Håndverkere",972
"0904 Grimstad (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",589
"0904 Grimstad (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",524
"0906 Arendal (1992-2019)","Begge kjønn","15-74 år","1 Ledere",1617
"0906 Arendal (1992-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",4608
"0906 Arendal (1992-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",2922
"0906 Arendal (1992-2019)","Begge kjønn","15-74 år","4 Kontoryrker",1195
"0906 Arendal (1992-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",4834
"0906 Arendal (1992-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",81
"0906 Arendal (1992-2019)","Begge kjønn","15-74 år","7 Håndverkere",1758
"0906 Arendal (1992-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",1152
"0906 Arendal (1992-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",1037
"0911 Gjerstad (-2019)","Begge kjønn","15-74 år","1 Ledere",76
"0911 Gjerstad (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",157
"0911 Gjerstad (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",110
"0911 Gjerstad (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",48
"0911 Gjerstad (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",288
"0911 Gjerstad (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",3
"0911 Gjerstad (-2019)","Begge kjønn","15-74 år","7 Håndverkere",145
"0911 Gjerstad (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",145
"0911 Gjerstad (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",75
"0912 Vegårshei (-2019)","Begge kjønn","15-74 år","1 Ledere",71
"0912 Vegårshei (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",190
"0912 Vegårshei (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",111
"0912 Vegårshei (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",45
"0912 Vegårshei (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",212
"0912 Vegårshei (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",8
